AccountID,AccNumber,CardNumber,AccountGroupID,AccountGroupName,Title,FirstName,LastName,Status,OtherName_1,OtherName_2,Street_1,Street_2,Street_3,City,State,Country,PCode,PhoneHome,PhoneWork,Fax,Mobile,Email1st,Email2nd,PostalStreet_1,PostalStreet_2,PostalStreet_3,PostalCity,PostalState,PostalCountry,PostalPCode,Comment,DateJoined,DateNextRenewal,DateLastRenewal,DateExpiry,MembershipID,RenewalID,DateBirth,Gender,DoNotPost,DoNotEmail,DoNotSMS,DoNotPhone,ExportCode_1,ExportCode_2,CreditLimit,DiscountLimit,StopCredit,CashOnly,PointsEarnOK,PointsRedeemOK,PointsPercent,UseCALinkPnts,AccountType,AllowedVenueID,AllowedOperatorID,PriceNumber,PricingMode,PricingSortType,PricingPercent,DiscNumber,UseGroupSettings,StatemtComment,OrderNumReqd,CustomFlag_1,CustomFlag_2,CustomFlag_3,CustomFlag_4,CustomFlag_5,CustomFlag_6,CustomFlag_7,CustomFlag_8,CustomFlag_9,CustomFlag_10,CustomNum_1,CustomNum_2,CustomNum_3,CustomNum_4,CustomNum_5,CustomDate_1,CustomDate_2,CustomDate_3,CustomDate_4,CustomDate_5,CustomText_1,CustomText_2,CustomText_3,CustomText_4,CustomText_5,CustomText_6,CustomText_7,CustomText_8,CustomText_9,CustomText_10,CustomText_11,CustomText_12,CustomText_13,CustomText_14,CustomText_15,CustomText_16,CustomText_17,CustomText_18,CustomText_19,CustomText_20,Account Balance,GrossTurnover,NettTurnover,PointsEarned,PointsRedeemed,Joining Fees Paid,Renewals Paid,Count of Visits,DateLastTrans
,,,,,,Andy,Bevy,Active,,,,,,,,,,,,,,andy@laststrategy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/2014 19:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,999,Trash,Active,,,,,,,,,,,,,,999trash@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/2014 19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LS,Outlook,Active,,,,,,,,,,,,,,laststrategy@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/2014 20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ned,Bobby,Active,,,,,,,,,,,,,,bl@laststrategy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/9/2014 19:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,first4,last4,Active,,,,,,,,,,,,,,mw@laststrategy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/9/2014 19:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Evelyn,Medina,Active,,,,,,,,,,,,,,emedinajt@goo.ne.jp,,,,,,,,,,,,,,,,Jul 10 1960 10:23PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Craig,Hughes,Active,,,,,,,,,,,,,,chugheslb@moonfruit.com,,,,,,,,,,,,,,,,Feb 11 1914  5:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nicholas,Adams,Active,,,,,,,,,,,,,,nadamsbj@creativecommons.org,,,,,,,,,,,,,,,,Mar  5 1911  6:41PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Randy,Barnes,Active,,,,,,,,,,,,,,rbarnesd5@hexun.com,,,,,,,,,,,,,,,,Nov  4 1960 12:05AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Wanda,Crawford,Active,,,,,,,,,,,,,,wcrawford3a@house.gov,,,,,,,,,,,,,,,,Sep 28 1962  6:27PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lois,Day,Active,,,,,,,,,,,,,,lday3s@foxnews.com,,,,,,,,,,,,,,,,Feb 21 1914  8:12AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jennifer,Williams,Active,,,,,,,,,,,,,,jwilliams5q@w3.org,,,,,,,,,,,,,,,,Nov 25 1958  1:02PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Benjamin,Webb,Active,,,,,,,,,,,,,,bwebbbu@businesswire.com,,,,,,,,,,,,,,,,Feb  8 1919  6:45AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Samuel,Jordan,Active,,,,,,,,,,,,,,sjordan92@etsy.com,,,,,,,,,,,,,,,,May 15 1975  2:03PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Patrick,Romero,Active,,,,,,,,,,,,,,promerodi@netscape.com,,,,,,,,,,,,,,,,Jul 15 1963  9:55PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Scott,Gomez,Active,,,,,,,,,,,,,,sgomez3u@si.edu,,,,,,,,,,,,,,,,Mar 15 1973 11:17PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Thomas,Bryant,Active,,,,,,,,,,,,,,tbryantkg@cargocollective.com,,,,,,,,,,,,,,,,Dec 17 1926  9:37AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fred,Willis,Active,,,,,,,,,,,,,,fwillisav@topsy.com,,,,,,,,,,,,,,,,Jul 13 1946  5:09AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joan,Welch,Active,,,,,,,,,,,,,,jwelchlg@sbwire.com,,,,,,,,,,,,,,,,Mar 10 1961  8:33PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Phyllis,Allen,Active,,,,,,,,,,,,,,palleni5@ycombinator.com,,,,,,,,,,,,,,,,Feb 19 1931  2:01AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Martin,Boyd,Active,,,,,,,,,,,,,,mboyd8s@google.com.au,,,,,,,,,,,,,,,,Jun 28 1972  4:24PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diana,Rodriguez,Active,,,,,,,,,,,,,,drodriguez5u@bloglovin.com,,,,,,,,,,,,,,,,Jan 28 1948  8:58PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Raymond,Cunningham,Active,,,,,,,,,,,,,,rcunninghamh9@wsj.com,,,,,,,,,,,,,,,,Feb 27 1954  5:22PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Robert,Riley,Active,,,,,,,,,,,,,,rrileybx@pinterest.com,,,,,,,,,,,,,,,,Mar 18 1928 11:07PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Linda,Reed,Active,,,,,,,,,,,,,,lreed6t@exblog.jp,,,,,,,,,,,,,,,,Jan  8 1938  7:47PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Harold,Washington,Active,,,,,,,,,,,,,,hwashingtond6@discuz.net,,,,,,,,,,,,,,,,Oct 23 1910  5:43PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Roy,Hayes,Active,,,,,,,,,,,,,,rhayes30@yolasite.com,,,,,,,,,,,,,,,,Feb 28 1982  6:47PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Samuel,Patterson,Active,,,,,,,,,,,,,,spattersonet@hhs.gov,,,,,,,,,,,,,,,,Dec 27 1984 11:57PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Emily,West,Active,,,,,,,,,,,,,,ewestk8@google.it,,,,,,,,,,,,,,,,Dec 12 1976  4:50PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Patrick,Austin,Active,,,,,,,,,,,,,,paustinj3@shutterfly.com,,,,,,,,,,,,,,,,Aug  5 1953  4:10AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Linda,Richards,Active,,,,,,,,,,,,,,lrichards2h@prlog.org,,,,,,,,,,,,,,,,May 23 1930  1:52AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Paul,Stanley,Active,,,,,,,,,,,,,,pstanleycn@mozilla.com,,,,,,,,,,,,,,,,Apr 30 1951 11:58AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Phyllis,Nguyen,Active,,,,,,,,,,,,,,pnguyen3l@amazon.co.jp,,,,,,,,,,,,,,,,Jan 30 1989  2:41PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Doris,Palmer,Active,,,,,,,,,,,,,,dpalmergj@cafepress.com,,,,,,,,,,,,,,,,May  3 1950  8:15PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Barbara,Collins,Active,,,,,,,,,,,,,,bcollins6k@meetup.com,,,,,,,,,,,,,,,,Jan 24 1974  5:39PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brian,Williamson,Active,,,,,,,,,,,,,,bwilliamsony@desdev.cn,,,,,,,,,,,,,,,,Oct  7 1960  5:26AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joe,Richards,Active,,,,,,,,,,,,,,jrichardsia@independent.co.uk,,,,,,,,,,,,,,,,Jun 24 1981  2:52PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joseph,Lewis,Active,,,,,,,,,,,,,,jlewis8j@xrea.com,,,,,,,,,,,,,,,,Mar  8 1978  1:36AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joan,Riley,Active,,,,,,,,,,,,,,jrileyg7@studiopress.com,,,,,,,,,,,,,,,,Oct 22 1974  5:03AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Marilyn,Hughes,Active,,,,,,,,,,,,,,mhughes3@mashable.com,,,,,,,,,,,,,,,,Aug 17 1913  4:03PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philip,Reed,Active,,,,,,,,,,,,,,preedq@friendfeed.com,,,,,,,,,,,,,,,,Oct 12 1917  9:03AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Todd,Gonzales,Active,,,,,,,,,,,,,,tgonzaleskm@clickbank.net,,,,,,,,,,,,,,,,Aug 14 1968  1:06PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Susan,Wagner,Active,,,,,,,,,,,,,,swagneri8@youtube.com,,,,,,,,,,,,,,,,May 21 1968  6:09PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gloria,Dixon,Active,,,,,,,,,,,,,,gdixonhs@house.gov,,,,,,,,,,,,,,,,Mar 24 1990  5:51AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Thomas,Arnold,Active,,,,,,,,,,,,,,tarnoldkx@mediafire.com,,,,,,,,,,,,,,,,Aug 31 1969  1:04AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
